gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
887045613	5df38344-b821-49c2-8174-cf0f29f4df0d	http://n2t.net/ark:/65665/37f30975f-68e7-4a81-b64b-31ef83536bcc	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus subsp. castaneus Waterhouse, 1843	UM		bc092ff0-02e4-11dc-991f-b8a03c50a862									1965-02-25T01:00Z	25	2	1965	4264890	2438780	PRESERVED_SPECIMEN	USNM	Mammals	362133.7182400	25395		CC_BY_NC_4_0		Bratley & Heryford			2016-08-04T02:00Z		
887045635	5df38344-b821-49c2-8174-cf0f29f4df0d	http://n2t.net/ark:/65665/392ca46c7-c11e-445b-8c99-7a6dbb8020db	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus subsp. castaneus Waterhouse, 1843	UM		bc092ff0-02e4-11dc-991f-b8a03c50a862									1965-03-27T01:00Z	27	3	1965	4264890	2438780	PRESERVED_SPECIMEN	USNM	Mammals	362182.7182666	25456		CC_BY_NC_4_0		Bratley & Heryford			2016-08-04T02:00Z		
887045666	5df38344-b821-49c2-8174-cf0f29f4df0d	http://n2t.net/ark:/65665/3daaf0b9f-e1d6-452b-a40e-20664c20dab6	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus subsp. castaneus Waterhouse, 1843	NC	Mount D'or	bc092ff0-02e4-11dc-991f-b8a03c50a862									1944-06-23T02:00Z	23	6	1944	4264890	2438780	PRESERVED_SPECIMEN	USNM	Mammals	276813.7184132	234/111		CC_BY_NC_4_0		A. Nicholson			2016-08-04T02:00Z		
887045682	5df38344-b821-49c2-8174-cf0f29f4df0d	http://n2t.net/ark:/65665/3da8055a6-30b9-4bb0-98ca-4b328d09f43b	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus subsp. castaneus Waterhouse, 1843	ID	Ambon Island, Waai	bc092ff0-02e4-11dc-991f-b8a03c50a862	-3.57	128.32			2.0				1971-03-29T01:00Z	29	3	1971	4264890	2438780	PRESERVED_SPECIMEN	USNM	Mammals	521995.7393468	1481		CC_BY_NC_4_0		Collector Unknown			2016-08-04T02:02Z		GEODETIC_DATUM_ASSUMED_WGS84
887045714	5df38344-b821-49c2-8174-cf0f29f4df0d	http://n2t.net/ark:/65665/3cbfa48d9-194b-4d06-95da-2e4b4a58ebe8	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus subsp. castaneus Waterhouse, 1843	UM		bc092ff0-02e4-11dc-991f-b8a03c50a862									1965-09-28T01:00Z	28	9	1965	4264890	2438780	PRESERVED_SPECIMEN	USNM	Mammals	538854.7406521	25097		CC_BY_NC_4_0		Heryford & Lewis			2016-08-04T02:00Z		
887045725	5df38344-b821-49c2-8174-cf0f29f4df0d	http://n2t.net/ark:/65665/37486834a-61d2-4b44-b3e1-d18f2556df39	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus subsp. castaneus Waterhouse, 1843	UM		bc092ff0-02e4-11dc-991f-b8a03c50a862									1965-09-25T01:00Z	25	9	1965	4264890	2438780	PRESERVED_SPECIMEN	USNM	Mammals	538831.7406498	25067		CC_BY_NC_4_0		Heryford			2016-08-04T02:00Z		
887045730	5df38344-b821-49c2-8174-cf0f29f4df0d	http://n2t.net/ark:/65665/37024c668-7131-41ba-b793-d0317fe5ce8e	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus subsp. castaneus Waterhouse, 1843	UM		bc092ff0-02e4-11dc-991f-b8a03c50a862									1965-09-27T01:00Z	27	9	1965	4264890	2438780	PRESERVED_SPECIMEN	USNM	Mammals	538841.7406508	25078		CC_BY_NC_4_0		Heryford			2016-08-04T02:00Z		
887045811	5df38344-b821-49c2-8174-cf0f29f4df0d	http://n2t.net/ark:/65665/3801df91f-ae04-4c15-b9d9-176d2a03a353	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus subsp. castaneus Waterhouse, 1843	UM		bc092ff0-02e4-11dc-991f-b8a03c50a862									1965-02-24T01:00Z	24	2	1965	4264890	2438780	PRESERVED_SPECIMEN	USNM	Mammals	538928.7406595	25380		CC_BY_NC_4_0		Bratley & Heryford			2016-08-04T02:00Z		
887045836	5df38344-b821-49c2-8174-cf0f29f4df0d	http://n2t.net/ark:/65665/3886509f6-abca-4416-b001-bfa62e01b5b6	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus subsp. castaneus Waterhouse, 1843	UM		bc092ff0-02e4-11dc-991f-b8a03c50a862									1965-04-20T01:00Z	20	4	1965	4264890	2438780	PRESERVED_SPECIMEN	USNM	Mammals	538955.7406622	25482		CC_BY_NC_4_0		Bratley & C. Kepler			2016-08-04T02:00Z		
887045851	5df38344-b821-49c2-8174-cf0f29f4df0d	http://n2t.net/ark:/65665/3cbe73574-01b1-4dd5-8bfe-98d3ceee4502	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus subsp. castaneus Waterhouse, 1843	UM		bc092ff0-02e4-11dc-991f-b8a03c50a862									1965-05-22T01:00Z	22	5	1965	4264890	2438780	PRESERVED_SPECIMEN	USNM	Mammals	538983.7406650	25535		CC_BY_NC_4_0		C. Kepler & Anderson			2016-08-04T02:00Z		
